Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Accelya Solutions India Ltd.,Information Technology,ACCELYA,EQ,INE793A01012
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Ami Organics Ltd.,Healthcare,AMIORG,EQ,INE00FF01017
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE,EQ,INE164A01016
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Barbeque Nation Hospitality Ltd.,Consumer Services,BARBEQUE,EQ,INE382M01027
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CARE Ratings Ltd.,Financial Services,CARERATING,EQ,INE752H01013
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
CESC Ltd.,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Camlin Fine Sciences Ltd.,Chemicals,CAMLINFINE,EQ,INE052I01032
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01014
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET,EQ,INE552D01024
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
D.B.Corp Ltd.,Media Entertainment & Publication,DBCORP,BE,INE950I01011
DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
DCX Systems Ltd.,Capital Goods,DCXINDIA,EQ,INE0KL801015
DLF Ltd.,Realty,DLF,EQ,INE271C01023
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Dalmia Bharat Sugar and Industries Ltd.,Fast Moving Consumer Goods,DALMIASUG,EQ,INE495A01022
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
Den Networks Ltd.,Media Entertainment & Publication,DEN,EQ,INE947J01015
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010
Dhanuka Agritech Ltd.,Chemicals,DHANUKA,EQ,INE435G01025
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,EQ,INE385W01011
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA,EQ,INE021O01019
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
Dreamfolks Services Ltd.,Services,DREAMFOLKS,EQ,INE0JS101016
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
ESAF Small Finance Bank Ltd.,Financial Services,ESAFSFB,EQ,INE818W01011
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01023
Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
Electrosteel Castings Ltd.,Capital Goods,ELECTCAST,EQ,INE086A01029
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Epigral Ltd.,Chemicals,EPIGRAL,EQ,INE071N01016
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Ethos Ltd.,Consumer Durables,ETHOSLTD,EQ,INE04TZ01018
Eveready Industries India Ltd.,Fast Moving Consumer Goods,EVEREADY,EQ,INE128A01029
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Fedbank Financial Services Ltd.,Financial Services,FEDFINA,EQ,INE007N01010
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ,INE737H01014
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
Fineotex Chemical Ltd.,Chemicals,FCL,EQ,INE045J01026
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Flair Writing Industries Ltd.,Fast Moving Consumer Goods,FLAIR,EQ,INE00Y201027
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Fusion Micro Finance Ltd.,Financial Services,FUSION,EQ,INE139R01012
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
GHCL Ltd.,Chemicals,GHCL,EQ,INE539A01019
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018
Ganesh Housing Corporation Ltd.,Realty,GANESHHOUC,EQ,INE460C01014
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Garware Hi-Tech Films Ltd.,Capital Goods,GRWRHITECH,EQ,INE291A01017
Gateway Distriparks Ltd.,Services,GATEWAY,EQ,INE079J01017
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Globus Spirits Ltd.,Fast Moving Consumer Goods,GLOBUSSPR,EQ,INE615I01010
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01021
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Gokaldas Exports Ltd.,Textiles,GOKEX,EQ,INE887G01027
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Greaves Cotton Ltd.,Capital Goods,GREAVESCOT,EQ,INE224A01026
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ,INE08ZM01014
Greenply Industries Ltd.,Consumer Durables,GREENPLY,EQ,INE461C01038
